site,kind,mutates,guard,note
"Assets.Scripts.Objects.Items/PureIce.cs::HandleIceMelting","read","no","","Samples outdoor air (or furnace internal) only to test WillMeltIce and Temperature > MeltTemperature, then hands it to Smelt which guards. Melt threshold is an absolute temperature per gas."
"Assets.Scripts.Objects.Items/PureIce.cs::Smelt","gated","yes","if (localAtmosphere.IsGlobalAtmosphere) CloneGlobalAddGasMix(...) (line 85-87) else CreateAdd on the real atmosphere","Melting ice adds its SpawnContents gas (new matter from mined ice) to a real outdoor cell; reaches the planet via the cell."
"Assets.Scripts.Objects.Items/RoadFlare.cs::GetBurningAtmosphere","gated","yes","WorldAtmosphere == null || Mode == Global -> CloneGlobalAtmosphere, only if ReadonlyGlobalAtmosphere.IsAboveArmstrong (line 159-161)","Returns WorldAtmosphere; can still return the read-only copy when planet air is below Armstrong (6.3 kPa absolute), but the only caller (OnAtmosphericTick) mutates only if IsAboveArmstrong, which implies the cloned real cell. Caller adds 1000 J/tick HEAT + spark to the cell."
"Assets.Scripts.Objects.Items/SprayCan.cs::OnUseItem","gated","yes","CloneGlobalAddGasMix event -> CloneGlobalAtmosphere (AtmosphericEventInstance.cs:439)","Each spray adds PollutionMixture (new matter) to a real outdoor cell via the clone event."
"Assets.Scripts.Objects.Items/Stomach.cs::WetSelf","gated","yes","CloneGlobalAddGasMix event (line 125) -> CloneGlobalAtmosphere (AtmosphericEventInstance.cs:439)","Moves polluted water (LIQUID) from stomach to suit, else to a cloned outdoor cell. Liquid enters the planet side via the cell."
"Assets.Scripts.Objects.Items/WeldingTorch.cs::EjectInternalAtmosphere","gated","yes","if (WorldAtmosphere == null || WorldAtmosphere.Mode == Global) WorldAtmosphere = CloneGlobalAtmosphere (line 227-229)","Dumps torch internal gas into a real outdoor cell and sparks it."
"Assets.Scripts.Objects.Pipes/ActiveVent.cs::GetWorkingAtmosphere","gated","no","CloneGlobalAtmosphere(WorldGrid) (line 383)","Returns a real cloned cell for the vent to pump to/from (virtual; never the read-only copy). Vent defaults use absolute targets OneAtmosphere and 50662.5 kPa."
"Assets.Scripts.Objects.Pipes/ArcFurnace.cs::WaitThenSmelt","gated","yes","CloneGlobal event (line 420); Smelt(SampleGlobalAtmosphere) at 426: every Smelt override checks localAtmosphere.IsGlobalAtmosphere and switches to CloneGlobal* events (Item.cs:365, Ore.cs, FuelIngot.cs, GasCanister.cs, PureIce.cs, Consumable.cs)","Per recipe adds recipe.Energy*PowerReleaseScale HEAT + spark to a cloned outdoor cell; hands the sampled (maybe read-only) air to the Smelt chain, all overrides of which are guarded. Energy reaches the planet heat counter via cell relaxation."
"Assets.Scripts.Objects.Pipes/CarbonSequester.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere(VentExtension.VentGrid) (line 221)","Takes pipe gas, converts up to UsedPower/45000*100 mol CO2 per tick into O2 (carbon kept as reagent), vents all of it into a real cloned cell. Absolute device rate."
"Assets.Scripts.Objects.Pipes/CombustionCentrifuge.cs::HandleBrokenMix","gated","yes","CloneGlobalAtmosphere(WorldGrid) (line 682); the sample at 676 is only null-checked","When broken, Mix(internal, cloned outdoor cell, All) including liquids."
"Assets.Scripts.Objects.Pipes/CondensationChamber.cs::AtmosphericsProcessing","gated","yes","CloneGlobalAtmosphere(WorldGrid).Add (line 23)","When open, dumps the whole internal mix (gas + LIQUID) into a real outdoor cell."
"Assets.Scripts.Objects.Pipes/Device.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere (line 1516) after a read-only IsAboveArmstrong test on the sample (line 1514)","Every powered device with EnergyToHeatRatio > 0 adds usedPower*ratio J/tick HEAT to a cloned outdoor cell, only if outdoor air > ArmstrongLimit (6.3 kPa absolute). Also means every such outdoor device keeps a real cell alive (one cell share debited from the tank)."
"Assets.Scripts.Objects.Pipes/DispersalTower.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere(VentExtension.VentGrid) (line 158)","When open, MoveToEqualize(internal -> cloned outdoor cell, PressurekPa.MaxValue, All): unlimited-rate release of gas and LIQUID to the planet side."
"Assets.Scripts.Objects.Pipes/DispersalTower.cs::OnServerImportTick","none","no","","TerraForming.AddPlantsToWorld: bumps the global vegetation counter and genes (GlobalPlants); no gas or heat. Planet-scale vegetation state, not atmosphere."
"Assets.Scripts.Objects.Pipes/EvaporationChamber.cs::AtmosphericsProcessing","gated","yes","CloneGlobalAtmosphere(WorldGrid).Add (line 26)","When open, dumps internal mix (gas + LIQUID) into a real outdoor cell. Liquid intake 0.25 L/tick absolute (device side)."
"Assets.Scripts.Objects.Pipes/FloorDrain.cs::OnAtmosphericTick","gated","yes","CloneGlobalAtmosphere(WorldGrid) (line 39); neighbour shells via GetAtmosphereLocal only","Drains up to LiquidPipeVolume L/tick of LIQUID from the cell and flat real neighbours into the pipe, and Mix(cell, pipe, Gas). The clone debits the tank, so an outdoor drain is a legitimate planet<->pipe gas path."
"Assets.Scripts.Objects.Pipes/FurnaceBase.cs::Explode","gated","yes","CloneGlobalAddGasMix event (line 762) -> CloneGlobalAtmosphere","On burst, copies internal mix into a cloned outdoor cell and resets internal (only if internal is above Armstrong; otherwise nothing is released)."
